count,share_percent,title,summary
282,0.8606,"Lightning Tracker","Your answers split between Zoom and Energy, with Ideas next."
273,0.8331,"World Builder","Your answers split between Vision and Ideas, with Focus next."
272,0.8301,"Careful Tracker","Your answers split between Focus and Zoom, with Energy next."
252,0.7690,"Route Navigator","Your answers split between Focus and Vision, with Ideas next."
248,0.7568,"World Builder","Your answers split between Vision and Ideas, with Energy next."
245,0.7477,"First Scout","Your answers split between Vision and Energy, with Ideas next."
242,0.7385,"Steady Starter","Your answers leaned most towards Energy, with Focus close behind."
238,0.7263,"Lightning Tracker","Your answers split between Zoom and Energy, with Focus next."
237,0.7233,"Sharp Dasher","Your answers leaned most towards Energy, with Zoom next."
209,0.6378,"Whole Trail Reader","Your answers split between Vision and Zoom, with Focus next."
204,0.6226,"Flash Finder","Your answers leaned most towards Zoom, with Energy next."
199,0.6073,"Swift Trail Guide","Your answers leaned most towards Vision, with Energy next."
169,0.5157,"Steady Wonder Maker","Your answers leaned most towards Ideas, with Focus next."
156,0.4761,"Compass Runner","Your answers leaned most towards Energy, with Vision next."
155,0.4730,"Lightning Tracker","Your answers split between Zoom and Energy, with Vision next."
155,0.4730,"Bright Dash","Your answers split between Ideas and Energy, with Focus next."
148,0.4517,"Workshop Hound","Your answers split between Focus and Ideas, with Zoom next."
146,0.4456,"Trail Finisher","Your answers leaned most towards Focus, with Vision next."
146,0.4456,"Workshop Hound","Your answers split between Focus and Ideas, with Vision next."
133,0.4059,"Puzzle Explorer","Your answers split between Zoom and Ideas, with Energy next."
132,0.4028,"Story Trail Maker","Your answers leaned most towards Ideas, with Vision next."
116,0.3540,"First Scout","Your answers split between Vision and Energy, with Zoom next."
115,0.3510,"Puzzle Explorer","Your answers split between Zoom and Ideas, with Focus next."
69,0.2106,"Trailwise Spotter","Your answers leaned most towards Zoom, with Vision next."
68,0.2075,"Pack Mover","Your answers split between Focus and Energy, with Zoom next."
66,0.2014,"Route Navigator","Your answers split between Focus and Vision, with Energy next."
66,0.2014,"Spark Builder","Your answers leaned most towards Focus, with Ideas next."
65,0.1984,"First Scout","Your answers split between Vision and Energy, with Focus next."
64,0.1953,"Whole Trail Reader","Your answers split between Vision and Zoom, with Energy next."
57,0.1740,"Onward Finisher","Your answers leaned most towards Focus, with Energy close behind."
43,0.1312,"Workshop Hound","Your answers split between Focus and Ideas, with Energy next."
39,0.1190,"The Kennel Master","Four powers came out level. You are not out in the field. You are the reason the field works."
37,0.1129,"Oddity Finder","Your answers leaned most towards Zoom, with Ideas next."
33,0.1007,"World Builder","Your answers split between Vision and Ideas, with Zoom next."
30,0.0916,"Whole Trail Reader","Your answers split between Vision and Zoom, with Ideas next."
28,0.0854,"Curious Clue Maker","Your answers leaned most towards Ideas, with Zoom next."
27,0.0824,"Puzzle Explorer","Your answers split between Zoom and Ideas, with Vision next."
26,0.0793,"Cluewise Trail Scout","Your answers leaned most towards Vision, with Zoom next."
25,0.0763,"Pack Mover","Your answers split between Focus and Energy, with Vision next."
21,0.0641,"Pack Mover","Your answers split between Focus and Energy, with Ideas next."
20,0.0610,"The Whistle","All five powers came out perfectly level. This is the rarest result in the whole game."
4,0.0122,"Steady Starter","Your answers leaned most towards Energy, with Focus next."
